X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,STATION_ID,STATION_NAME,DATA_BEGIN_DATE,DATA_END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,ID_CAT,SNOW
-9974493.54185522,5095340.39241227,37297,8b9a2152-b941-4503-a857-eb16b3deb5da,2021/03/19 16:49:32.074+00,ncei_noaa,2021/03/19 16:49:32.074+00,ncei_noaa,GHCND:USC00118916,"WALNUT, IL US",1893/01/01 05:00:00+00,2021/03/03 05:00:00+00,Illinois,United States,41.5603,-89.6024,204.5,1,
-9928919.34232445,4577688.38107965,38776,02ddcf9d-708a-4250-a9e1-360d8f21f0fd,2021/03/19 16:49:32.074+00,ncei_noaa,2021/03/19 16:49:32.074+00,ncei_noaa,GHCND:USC00112483,"DU QUOIN 4 SE, IL US",1893/01/01 05:00:00+00,2021/03/03 05:00:00+00,Illinois,United States,37.9877,-89.193,128,1,
-9903816.79715057,4885943.56899562,44250,4c2e41ad-3736-42dc-a913-b66b7429933a,2021/03/19 16:50:01.856+00,ncei_noaa,2021/03/19 16:50:01.856+00,ncei_noaa,GHCND:USC00111743,"CLINTON 1 SSW, IL US",1910/01/01 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,40.1375,-88.9675,210.3,1,
-10017663.2403848,5221026.81194239,54266,0679398d-057c-461c-873a-e472eafef88b,2021/03/19 16:51:04.950+00,ncei_noaa,2021/03/19 16:51:04.950+00,ncei_noaa,GHCND:USC00118293,"STOCKTON 3 NNE, IL US",1943/11/01 04:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,42.3996,-89.9902,295.7,1,
-9925891.45217487,4541466.37035899,54639,0302aa0b-7986-45b3-8257-1808d187ea27,2021/03/19 16:51:04.950+00,ncei_noaa,2021/03/19 16:51:04.950+00,ncei_noaa,GHCND:USC00111265,"CARBONDALE SEWAGE PLANT, IL US",1894/01/01 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,37.7308,-89.1658,118.9,1,
-9901924.36580708,4841095.06100025,54906,da11e216-c644-40a3-a379-4745c19a8118,2021/03/19 16:51:04.950+00,ncei_noaa,2021/03/19 16:51:04.950+00,ncei_noaa,GHCND:USC00112193,"DECATUR WTP, IL US",1893/01/01 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,39.8288,-88.9505,194.8,1,
-9916885.7053697,4609601.92468687,59363,b96c3b2a-0a46-4321-bf86-c0ae9d0755dd,2021/03/19 16:51:35.193+00,ncei_noaa,2021/03/19 16:51:35.193+00,ncei_noaa,GHCND:USC00118932,"WALTONVILLE, IL US",1972/03/01 05:00:00+00,2021/03/15 04:00:00+00,Illinois,United States,38.2133,-89.0849,155.8,1,
-9824312.41682601,5207394.17192799,63670,95363c84-ca22-4d48-b669-b30a1f68d644,2021/03/19 16:52:02.851+00,ncei_noaa,2021/03/19 16:52:02.851+00,ncei_noaa,GHCND:USC00115493,"MC HENRY WG STRATTON LOCK AND DAM, IL US",1948/07/01 04:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,42.3091,-88.2533,224.3,1,
-9947427.32086374,4627836.62485663,65864,787c2cf6-5b9c-42c2-a3a0-84a82d854dd3,2021/03/19 16:52:02.851+00,ncei_noaa,2021/03/19 16:52:02.851+00,ncei_noaa,GHCND:USC00116011,"NASHVILLE 1 E, IL US",1895/08/01 05:00:00+00,2019/12/31 05:00:00+00,Illinois,United States,38.34189,-89.35926,156.4,1,
-9943931.88885283,5161794.36450253,66359,1f2fa8e1-3663-4c23-8718-6b61673fb606,2021/03/19 16:52:30.274+00,ncei_noaa,2021/03/19 16:52:30.274+00,ncei_noaa,GHCND:USC00116490,"OREGON, IL US",1949/11/01 05:00:00+00,2021/03/08 05:00:00+00,Illinois,United States,42.00544,-89.32786,206.7,1,
-9908448.80116247,4564585.09638699,72221,c4a3b380-65af-480f-9947-82d3f880f34b,2021/03/19 16:52:57.737+00,ncei_noaa,2021/03/19 16:52:57.737+00,ncei_noaa,GHCND:USC00116874,"PLUMFIELD, IL US",1974/10/01 04:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,37.89487,-89.00911,119.8,1,
-9863786.3082613,5200562.63918699,74343,0ea1d991-a1de-43f8-bb8c-e22cb018975e,2021/03/19 16:52:57.737+00,ncei_noaa,2021/03/19 16:52:57.737+00,ncei_noaa,GHCND:USC00115326,"MARENGO, IL US",1893/01/01 05:00:00+00,2018/10/31 04:00:00+00,Illinois,United States,42.2637,-88.6079,248.4,1,
-10001176.8237984,5174755.57447536,74581,8f3e83ea-2b99-40ab-adb7-8ab2b479a61d,2021/03/19 16:52:57.737+00,ncei_noaa,2021/03/19 16:52:57.737+00,ncei_noaa,GHCND:USC00114879,"LANARK, IL US",1948/07/01 04:00:00+00,2021/02/28 05:00:00+00,Illinois,United States,42.0919,-89.8421,253,1,
-9980472.51170572,4687434.50572381,74737,37f07833-fcf1-4322-87af-8b06b63a9483,2021/03/19 16:52:57.737+00,ncei_noaa,2021/03/19 16:52:57.737+00,ncei_noaa,GHCND:USC00114089,"HIGHLAND, IL US",1977/10/01 04:00:00+00,2020/12/31 05:00:00+00,Illinois,United States,38.76058,-89.65611,161.5,1,
-9979891.42396378,4579876.46268399,76545,92b0b3c1-22d1-424c-8c19-936ee0f38770,2021/03/19 16:53:25.056+00,ncei_noaa,2021/03/19 16:53:25.056+00,ncei_noaa,GHCND:USC00118248,"STEELEVILLE, IL US",1951/04/11 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,38.00319,-89.65089,131.1,1,
-10035307.3796756,5079108.24028222,76571,49278bf8-36ba-44f5-9dc4-81660aa1b141,2021/03/19 16:53:25.056+00,ncei_noaa,2021/03/19 16:53:25.056+00,ncei_noaa,GHCND:USC00113384,"GENESEO, IL US",1895/01/01 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,41.4511,-90.1487,194.8,1,
-9772222.68749911,5181954.37308226,78975,2a78d5fd-03e2-4231-acb8-503747e65dd4,2021/03/19 16:53:25.056+00,ncei_noaa,2021/03/19 16:53:25.056+00,ncei_noaa,GHCND:USC00111497,"CHICAGO BOTANIC GARDEN, IL US",1981/10/01 04:00:00+00,2019/06/05 04:00:00+00,Illinois,United States,42.13987,-87.78537,192,1,
-9958808.62560244,4781393.16751045,88677,3a6264f9-3a7e-4cec-9d6f-e0eec6cf2336,2021/03/19 16:54:24.195+00,ncei_noaa,2021/03/19 16:54:24.195+00,ncei_noaa,GHCND:USC00115841,"MORRISONVILLE, IL US",1948/07/01 04:00:00+00,2020/02/29 05:00:00+00,Illinois,United States,39.4157,-89.4615,192,1,
-9754213.42027858,4722579.76387272,88780,dbae64a3-b050-43e1-8ed3-9dbce33b57d9,2021/03/19 16:54:24.195+00,ncei_noaa,2021/03/19 16:54:24.195+00,ncei_noaa,GHCND:USC00116558,"PALESTINE, IL US",1893/01/01 05:00:00+00,2020/04/11 04:00:00+00,Illinois,United States,39.00634,-87.62359,137.2,1,
-9841689.38933884,4650970.39439828,88943,0d8dcdaf-9812-4e37-9cb7-cbec2e0172ca,2021/03/19 16:54:24.195+00,ncei_noaa,2021/03/19 16:54:24.195+00,ncei_noaa,GHCND:USC00111664,"CISNE 2 S, IL US",1946/07/01 04:00:00+00,2021/01/31 05:00:00+00,Illinois,United States,38.5047,-88.4094,138.4,1,
-9870454.34575982,4500447.62163925,90397,092b7772-05a7-4156-a6f7-d604341fb489,2021/03/19 16:54:24.195+00,ncei_noaa,2021/03/19 16:54:24.195+00,ncei_noaa,GHCND:USC00112353,"DIXON SPRINGS AGRIC CNTR, IL US",1967/09/22 04:00:00+00,2021/01/31 05:00:00+00,Illinois,United States,37.4388,-88.6678,160.6,1,
-9768795.16037759,4982008.44098586,91819,cbddd9a2-b82c-4dd2-a3c5-1e2250f13526,2021/03/19 16:54:52.413+00,ncei_noaa,2021/03/19 16:54:52.413+00,ncei_noaa,GHCND:USC00119021,"WATSEKA 2 NW, IL US",1893/01/01 05:00:00+00,2020/07/17 04:00:00+00,Illinois,United States,40.79403,-87.75458,189,1,
-9929420.28003302,5227661.93892167,92864,d3fb40c8-a239-4dfd-bcdf-68e86d40e37e,2021/03/19 16:54:52.413+00,ncei_noaa,2021/03/19 16:54:52.413+00,ncei_noaa,GHCND:USC00117916,"SHIRLAND, IL US",1959/04/18 05:00:00+00,2021/01/31 05:00:00+00,Illinois,United States,42.4436,-89.1975,225.6,1,
-10089787.1384698,5004129.39477579,93458,95f799e9-3550-45f6-bad0-950a629a31ec,2021/03/19 16:54:52.413+00,ncei_noaa,2021/03/19 16:54:52.413+00,ncei_noaa,GHCND:USC00115768,"MONMOUTH, IL US",1893/02/01 05:00:00+00,2021/02/28 05:00:00+00,Illinois,United States,40.9443,-90.6381,219.5,1,
-9866958.91374891,4994319.14354236,94035,da6a7e2e-6417-4f39-a291-dffdaebe51ae,2021/03/19 16:54:52.413+00,ncei_noaa,2021/03/19 16:54:52.413+00,ncei_noaa,GHCND:USC00116910,"PONTIAC, IL US",1903/01/01 05:00:00+00,2017/05/30 04:00:00+00,Illinois,United States,40.8777,-88.6364,198.1,1,
-9813881.78053868,4911545.98035973,96255,d66a04b1-13c8-46f7-b96c-e820aeca96d2,2021/03/19 16:55:18.443+00,ncei_noaa,2021/03/19 16:55:18.443+00,ncei_noaa,GHCND:USW00014806,"RANTOUL, IL US",1893/01/01 05:00:00+00,2021/03/13 05:00:00+00,Illinois,United States,40.3131,-88.1596,230.1,1,
-9952541.33827078,4702338.09089822,96589,457d3a48-ca7d-42f1-9ae4-78ad5a653b08,2021/03/19 16:55:18.443+00,ncei_noaa,2021/03/19 16:55:18.443+00,ncei_noaa,GHCND:USC00113693,"GREENVILLE, IL US",1893/01/01 05:00:00+00,2019/11/30 05:00:00+00,Illinois,United States,38.8649,-89.4052,164.9,1,
-9771346.60310657,5121694.20740107,97386,566b7894-3996-43cd-a982-e9eaa4cb1fb3,2021/03/19 16:55:18.443+00,ncei_noaa,2021/03/19 16:55:18.443+00,ncei_noaa,GHCND:USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1928/02/29 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,41.7372,-87.7775,189,1,
-9906132.24255907,4585148.68543519,98098,addee2d4-8397-4fa8-ba44-ae79949270f6,2021/03/19 16:55:18.443+00,ncei_noaa,2021/03/19 16:55:18.443+00,ncei_noaa,GHCND:USC00117187,"REND LAKE DAM, IL US",1974/03/01 04:00:00+00,2021/01/31 05:00:00+00,Illinois,United States,38.0405,-88.9883,138.7,1,
-9958140.70865768,4806453.18100176,101203,99701835-93ef-4770-9a89-8cb4915e925e,2021/03/19 16:55:52.124+00,ncei_noaa,2021/03/19 16:55:52.124+00,ncei_noaa,GHCND:USC00114739,"KINCAID 3 W, IL US",1973/04/01 05:00:00+00,2018/10/24 04:00:00+00,Illinois,United States,39.5894,-89.4555,179.8,1,
-9835644.74098876,4789653.02287688,102025,077e61fd-720a-4a00-947e-9af812481d3d,2021/03/19 16:55:52.124+00,ncei_noaa,2021/03/19 16:55:52.124+00,ncei_noaa,GHCND:USC00115430,"MATTOON, IL US",1893/01/01 05:00:00+00,2021/03/14 05:00:00+00,Illinois,United States,39.473,-88.3551,213.4,1,
-9953665.66512779,5015100.30097918,106215,a2139611-f3df-4e73-887a-f3264fe5c804,2021/03/19 16:56:19.479+00,ncei_noaa,2021/03/19 16:56:19.479+00,ncei_noaa,GHCND:USC00114805,"LACON, IL US",1950/11/01 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,41.0187,-89.4153,139.6,1,
-10102522.0882166,4863632.00377609,106669,a5a673a1-27a0-4a54-b877-41812adfeb3c,2021/03/19 16:56:19.479+00,ncei_noaa,2021/03/19 16:56:19.479+00,ncei_noaa,GHCND:USC00115935,"MOUNT STERLING, IL US",1942/10/01 04:00:00+00,2018/02/28 05:00:00+00,Illinois,United States,39.9841,-90.7525,216.1,1,
-9918030.06973505,4715640.03854547,109856,f2553455-0b4c-4035-9994-2f9701b4a71a,2021/03/19 16:56:19.479+00,ncei_noaa,2021/03/19 16:56:19.479+00,ncei_noaa,GHCND:USC00118781,"VANDALIA, IL US",1899/09/21 05:00:00+00,2020/11/18 05:00:00+00,Illinois,United States,38.95788,-89.09518,149.4,1,
-10034247.6181232,4744064.90134974,109907,3e7f7787-ddcd-423d-b379-59fb11304b1a,2021/03/19 16:56:19.479+00,ncei_noaa,2021/03/19 16:56:19.479+00,ncei_noaa,GHCND:USC00115539,"MEDORA 1 S, IL US",1942/06/01 04:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,39.15616,-90.13918,185,1,
-10142585.9729531,4916116.49131303,110860,b07bc2e1-1398-4dc1-bcef-66b8e9449930,2021/03/19 16:56:19.479+00,ncei_noaa,2021/03/19 16:56:19.479+00,ncei_noaa,GHCND:USC00110598,"BENTLEY, IL US",1948/06/01 04:00:00+00,2021/03/15 04:00:00+00,Illinois,United States,40.3444,-91.1124,198.1,1,
-9962204.98326654,4744764.05688781,112652,a4146468-ca42-4c49-9e16-359cd0ed943b,2021/03/19 16:56:43.962+00,ncei_noaa,2021/03/19 16:56:43.962+00,ncei_noaa,GHCND:USC00114108,"HILLSBORO, IL US",1895/04/01 05:00:00+00,2021/02/28 05:00:00+00,Illinois,United States,39.16103,-89.49201,192,1,
-9985511.94505394,4732094.88192389,114502,1908d10e-6a52-4c05-bc2c-f0fa8cf09990,2021/03/19 16:56:43.962+00,ncei_noaa,2021/03/19 16:56:43.962+00,ncei_noaa,GHCND:USC00115917,"MOUNT OLIVE 1 E, IL US",1940/10/01 05:00:00+00,2021/03/15 04:00:00+00,Illinois,United States,39.07273,-89.70138,204.2,1,
-9761060.68215727,4933951.54113272,117904,1beadc0b-87c8-4a87-a805-00cf61655d86,2021/03/19 16:57:12.323+00,ncei_noaa,2021/03/19 16:57:12.323+00,ncei_noaa,GHCND:USC00114198,"HOOPESTON, IL US",1902/06/01 05:00:00+00,2021/03/15 04:00:00+00,Illinois,United States,40.4664,-87.6851,216.4,1,
-9756919.59709976,4886176.54919402,118263,33c61fc9-f2a8-4190-9c3f-ccf897adaa5a,2021/03/19 16:57:12.323+00,ncei_noaa,2021/03/19 16:57:12.323+00,ncei_noaa,GHCND:USC00112140,"DANVILLE, IL US",1895/04/23 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,40.1391,-87.6479,169.2,1,
-9904982.31221917,5110978.588062,118879,f7d90ed7-92c2-4a2d-ba81-5dd9268e79ca,2021/03/19 16:57:12.323+00,ncei_noaa,2021/03/19 16:57:12.323+00,ncei_noaa,GHCND:USC00116661,"PAW PAW 2 S, IL US",1912/09/01 05:00:00+00,2021/03/16 04:00:00+00,Illinois,United States,41.66533,-88.97797,271,1,
